Module,Cluster,Cluster_location,Function,position,Module_color
M3.1,A29,1,Cell cycle,A29.1,#99C68E
M8.1,A29,4,TBD,A29.4,#FFFFFF
M8.2,A34,4,Prostanoids,A34.4,#C226D9
M8.3,A28,6,Type 1 Interferon,A28.6,#00D7D6
M9.1,A2,1,Cytotoxic lymphocytes,A2.1,#F85B4D
M9.2,A37,1,Erythrocytes,A37.1,#EA7C1E
M10.1,A28,1,Interferon,A28.1,#00FFFF
M10.2,A9,1,Protein synthesis,A9.1,#8B63FF
M10.3,A34,1,Platelet,A34.1,#6BA3D7
M10.4,A38,2,Neutrophil activation,A38.2,#FF00FF
M11.1,A1,19,Protein synthesis,A1.19,#8B63FF
M11.2,A37,10,TBD,A37.10,#FFFFFF
M11.3,A37,2,Erythrocytes,A37.2,#EA7C1E
M11.4,A37,11,TBD,A37.11,#FFFFFF
M12.1,A1,32,Protein modification,A1.32,#FFABA8
M12.2,A26,2,Monocytes,A26.2,#004181
M12.3,A1,7,Cell cycle,A1.7,#99C68E
M12.4,A2,4,Gene transcription,A2.4,#E5C493
M12.5,A3,2,Protein modification,A3.2,#FFABA8
M12.6,A1,28,T cells,A1.28,#0077BA
M12.7,A1,20,Protein synthesis,A1.20,#8B63FF
M12.8,A1,5,B cells,A1.5,#FFEE07
M12.9,A38,3,Protein phosphorylation,A38.3,#C5A44B
M12.10,A35,6,Inflammation,A35.6,#B00D29
M12.11,A37,3,Erythrocytes,A37.3,#EA7C1E
M12.12,A25,4,Oxidative stress,A25.4,#F94A8B
M12.13,A24,1,Oxidative phosphorylation,A24.1,#B51F83
M12.14,A29,5,TBD,A29.5,#FFFFFF
M12.15,A27,3,Cell cycle,A27.3,#99C68E
M13.1,A35,3,Inflammation,A35.3,#B00D29
M13.2,A1,16,Gene transcription,A1.16,#E5C493
M13.3,A35,16,TBD,A35.16,#FFFFFF
M13.4,A2,18,Protein synthesis,A2.18,#8B63FF
M13.5,A32,7,Cell death,A32.7,#000000
M13.6,A1,17,Gene transcription,A1.17,#E5C493
M13.7,A33,12,TBD,A33.12,#FFFFFF
M13.8,A3,7,TBD,A3.7,#FFFFFF
M13.9,A3,5,Gene transcription,A3.5,#E5C493
M13.10,A2,17,Protein synthesis,A2.17,#8B63FF
M13.11,A26,5,TBD,A26.5,#FFFFFF
M13.12,A35,7,Inflammation,A35.7,#B00D29
M13.13,A2,5,Gene transcription,A2.5,#E5C493
M13.14,A2,23,Proteolysis,A2.23,#B497DB
M13.15,A32,1,Gene transcription,A32.1,#E5C493
M13.16,A35,2,Cytokines/chemokines,A35.2,#F4CA49
M13.17,A28,3,Interferon,A28.3,#00FFFF
M13.18,A1,4,B cells,A1.4,#FFEE07
M13.19,A30,3,Protein phosphorylation,A30.3,#C5A44B
M13.20,A29,2,Cell cycle,A29.2,#99C68E
M13.21,A2,2,Cytotoxic lymphocytes,A2.2,#F85B4D
M13.22,A35,10,Neutrophils,A35.10,#FF92D5
M13.23,A3,8,TBD,A3.8,#FFFFFF
M13.24,A24,6,TBD,A24.6,#FFFFFF
M13.25,A32,8,Protein phosphorylation,A32.8,#C5A44B
M13.26,A37,9,Oxidative stress,A37.9,#F94A8B
M13.27,A1,1,B cells,A1.1,#FFEE07
M13.28,A1,21,Protein synthesis,A1.21,#8B63FF
M13.29,A2,11,Protein modification,A2.11,#FFABA8
M13.30,A37,4,Erythrocytes,A37.4,#EA7C1E
M13.31,A25,6,TBD,A25.6,#FFFFFF
M13.32,A27,1,Cell cycle,A27.1,#99C68E
M14.1,A32,2,Gene transcription,A32.2,#E5C493
M14.2,A2,19,Protein synthesis,A2.19,#8B63FF
M14.3,A2,12,Protein modification,A2.12,#FFABA8
M14.4,A1,11,Gene transcription,A1.11,#E5C493
M14.5,A1,12,Gene transcription,A1.12,#E5C493
M14.6,A3,9,TBD,A3.9,#FFFFFF
M14.7,A35,17,TBD,A35.17,#FFFFFF
M14.8,A2,24,TBD,A2.24,#FFFFFF
M14.9,A32,10,TBD,A32.10,#FFFFFF
M14.10,A26,6,TBD,A26.6,#FFFFFF
M14.11,A32,11,TBD,A32.11,#FFFFFF
M14.12,A1,6,Cell cycle,A1.6,#99C68E
M14.13,A2,22,Oxidative phosphorylation,A2.22,#B51F83
M14.14,A6,9,Protein modification,A6.9,#FFABA8
M14.15,A6,10,Protein modification,A6.10,#FFABA8
M14.16,A24,7,TBD,A24.7,#FFFFFF
M14.17,A2,6,Gene transcription,A2.6,#E5C493
