Module,Gene,Probes,Module_gene,Function,Cluter,Cluster_location,position
M3.1,ALPP,1693789,M3.1_ALPP,Cell cycle,A29,1,A29.1
M3.1,ALS2CR14,1787314,M3.1_ALS2CR14,Cell cycle,A29,1,A29.1
M3.1,ANKRD30B,1730678,M3.1_ANKRD30B,Cell cycle,A29,1,A29.1
M3.1,ARL16,2188119,M3.1_ARL16,Cell cycle,A29,1,A29.1
M3.1,BCYRN1,1678757,M3.1_BCYRN1,Cell cycle,A29,1,A29.1
M3.1,BLZF1,2106658,M3.1_BLZF1,Cell cycle,A29,1,A29.1
M3.1,C11ORF63,2243516,M3.1_C11ORF63,Cell cycle,A29,1,A29.1
M3.1,C1ORF176,2117569,M3.1_C1ORF176,Cell cycle,A29,1,A29.1
M3.1,C5ORF28,2150465,M3.1_C5ORF28,Cell cycle,A29,1,A29.1
M3.1,C6ORF170,2228196,M3.1_C6ORF170,Cell cycle,A29,1,A29.1
M3.1,C8ORF45,2113738,M3.1_C8ORF45,Cell cycle,A29,1,A29.1
M3.1,C9ORF130,1738678,M3.1_C9ORF130,Cell cycle,A29,1,A29.1
M3.1,CCBE1,2122511,M3.1_CCBE1,Cell cycle,A29,1,A29.1
M3.1,CEP27,1738482,M3.1_CEP27,Cell cycle,A29,1,A29.1
M3.1,CSF2RA,1721204,M3.1_CSF2RA,Cell cycle,A29,1,A29.1
M3.1,CYCSL1,2061419,M3.1_CYCSL1,Cell cycle,A29,1,A29.1
M3.1,DCLRE1C,2321931,M3.1_DCLRE1C,Cell cycle,A29,1,A29.1
M3.1,DDX51,2215382,M3.1_DDX51,Cell cycle,A29,1,A29.1
M3.1,DENR,2168952,M3.1_DENR,Cell cycle,A29,1,A29.1
M3.1,DMC1,2162367,M3.1_DMC1,Cell cycle,A29,1,A29.1
M3.1,DTWD2,2054554,M3.1_DTWD2,Cell cycle,A29,1,A29.1
M3.1,DUXAP3,2117809,M3.1_DUXAP3,Cell cycle,A29,1,A29.1
M3.1,EIF2AK4,1755114,M3.1_EIF2AK4,Cell cycle,A29,1,A29.1
M3.1,EVI5,1746314,M3.1_EVI5,Cell cycle,A29,1,A29.1
M3.1,FAM40B,2161286,M3.1_FAM40B,Cell cycle,A29,1,A29.1
M3.1,FAM73A,2123559,M3.1_FAM73A,Cell cycle,A29,1,A29.1
M3.1,FLJ38717,1771320,M3.1_FLJ38717,Cell cycle,A29,1,A29.1
M3.1,FLJ40722,1778202,M3.1_FLJ40722,Cell cycle,A29,1,A29.1
M3.1,FLJ44124,2230162,M3.1_FLJ44124,Cell cycle,A29,1,A29.1
M3.1,GALNT3,1671039,M3.1_GALNT3,Cell cycle,A29,1,A29.1
M3.1,GPR1,2107004,M3.1_GPR1,Cell cycle,A29,1,A29.1
M3.1,GSTTP2,2246548,M3.1_GSTTP2,Cell cycle,A29,1,A29.1
M3.1,HNRNPU,2370135,M3.1_HNRNPU,Cell cycle,A29,1,A29.1
M3.1,HS.163752,1912662,M3.1_HS.163752,Cell cycle,A29,1,A29.1
M3.1,HS.542993,1904980,M3.1_HS.542993,Cell cycle,A29,1,A29.1
M3.1,HS.562875,1915783,M3.1_HS.562875,Cell cycle,A29,1,A29.1
M3.1,HS.571741,1870457,M3.1_HS.571741,Cell cycle,A29,1,A29.1
M3.1,HS.576072,1916457,M3.1_HS.576072,Cell cycle,A29,1,A29.1
M3.1,HSPC268,2078547,M3.1_HSPC268,Cell cycle,A29,1,A29.1
M3.1,HYPK,2073543,M3.1_HYPK,Cell cycle,A29,1,A29.1
M3.1,ICA1,1694399,M3.1_ICA1,Cell cycle,A29,1,A29.1
M3.1,IL10,2073307,M3.1_IL10,Cell cycle,A29,1,A29.1
M3.1,IL17RD,2407851,M3.1_IL17RD,Cell cycle,A29,1,A29.1
M3.1,KIAA1751,2415979,M3.1_KIAA1751,Cell cycle,A29,1,A29.1
M3.1,LEP,2207505,M3.1_LEP,Cell cycle,A29,1,A29.1
M3.1,LMOD3,1785703,M3.1_LMOD3,Cell cycle,A29,1,A29.1
M3.1,LOC123688,2091707,M3.1_LOC123688,Cell cycle,A29,1,A29.1
M3.1,LOC440157,2082893,M3.1_LOC440157,Cell cycle,A29,1,A29.1
M3.1,LOC643882,1746919,M3.1_LOC643882,Cell cycle,A29,1,A29.1
M3.1,LOC644250,1654320,M3.1_LOC644250,Cell cycle,A29,1,A29.1
M3.1,LOC644852,1727165,M3.1_LOC644852,Cell cycle,A29,1,A29.1
M3.1,LOC648852,1677691,M3.1_LOC648852,Cell cycle,A29,1,A29.1
M3.1,LOC653829,1743476,M3.1_LOC653829,Cell cycle,A29,1,A29.1
M3.1,LSDP5,2209993,M3.1_LSDP5,Cell cycle,A29,1,A29.1
M3.1,MAGT1,1721349,M3.1_MAGT1,Cell cycle,A29,1,A29.1
M3.1,MBTD1,2101651,M3.1_MBTD1,Cell cycle,A29,1,A29.1
M3.1,MCART1,1772492,M3.1_MCART1,Cell cycle,A29,1,A29.1
M3.1,MCM8,1798581,M3.1_MCM8,Cell cycle,A29,1,A29.1
M3.1,MYO3B,2096970,M3.1_MYO3B,Cell cycle,A29,1,A29.1
M3.1,N4BP2,2222101,M3.1_N4BP2,Cell cycle,A29,1,A29.1
M3.1,NLRP8,2075794,M3.1_NLRP8,Cell cycle,A29,1,A29.1
M3.1,NUBPL,2048811,M3.1_NUBPL,Cell cycle,A29,1,A29.1
M3.1,OCIAD1,2330495,M3.1_OCIAD1,Cell cycle,A29,1,A29.1
M3.1,PCDHB19P,1690237,M3.1_PCDHB19P,Cell cycle,A29,1,A29.1
M3.1,PCDHB9,2047885,M3.1_PCDHB9,Cell cycle,A29,1,A29.1
M3.1,PIP5K2B,1812105,M3.1_PIP5K2B,Cell cycle,A29,1,A29.1
M3.1,PLA2G2D,2233050,M3.1_PLA2G2D,Cell cycle,A29,1,A29.1
M3.1,PLDN,2105033,M3.1_PLDN,Cell cycle,A29,1,A29.1
M3.1,POLR2J4,1699383,M3.1_POLR2J4,Cell cycle,A29,1,A29.1
M3.1,PPA2,2342455,M3.1_PPA2,Cell cycle,A29,1,A29.1
M3.1,PPM1K,2070043,M3.1_PPM1K,Cell cycle,A29,1,A29.1
M3.1,PRO1853,2394132,M3.1_PRO1853,Cell cycle,A29,1,A29.1
M3.1,PTP4A2,1688490,M3.1_PTP4A2,Cell cycle,A29,1,A29.1
M3.1,PTPLAD2,1690114,M3.1_PTPLAD2,Cell cycle,A29,1,A29.1
M3.1,RAXL1,1653412,M3.1_RAXL1,Cell cycle,A29,1,A29.1
M3.1,RHBDL2,2053538,M3.1_RHBDL2,Cell cycle,A29,1,A29.1
M3.1,RNUXA,2190779,M3.1_RNUXA,Cell cycle,A29,1,A29.1
M3.1,SLC25A20,1783060,M3.1_SLC25A20,Cell cycle,A29,1,A29.1
M3.1,SLC35E1,2059173,M3.1_SLC35E1,Cell cycle,A29,1,A29.1
M3.1,SLC4A5,2273224,M3.1_SLC4A5,Cell cycle,A29,1,A29.1
M3.1,SLC5A8,1811221,M3.1_SLC5A8,Cell cycle,A29,1,A29.1
M3.1,SNAPC1,2093389,M3.1_SNAPC1,Cell cycle,A29,1,A29.1
M3.1,SPTLC1,2249473,M3.1_SPTLC1,Cell cycle,A29,1,A29.1
M3.1,SSTR2,2152257,M3.1_SSTR2,Cell cycle,A29,1,A29.1
